Title of the Book,Author/s,Book type,Original Price (RRP),Discounted price,ISBN-10,Published Date,Publisher,No. of Pages
Willpower,"['Roy F. Baumeister', 'John Tierney']",ePUB,21.75,21.75,1101543779,2011-09-01,,304
The Year Of The Flood,['Margaret Atwood'],ePUB,12.99,12.99,0748113371,2010-07-27,"Little, Brown Book Group",432
Glory in Death,['J.D. Robb'],Paperback,22.99,20.35,0749954213,2011-01-01,Little Brown,416
The Secret Pilgrim,['John le Carré'],ePUB,15.99,15.99,0141967447,2011-05-26,Penguin Books Ltd,416
Book not found for ISBN 9780307430861,,,,,,,,
Queen Camilla,['Sue Townsend'],ePUB,15.99,15.99,0141900830,2007-09-06,Penguin Books Ltd,464
Big Frank's Fire Truck,"['Leslie McGuire', 'Joe Mathieu']",ePUB,8.79,7.99,0307982777,2014-08-27,Random House Children's Books,
Secrets Of The Baby Whisperer,"['Tracy Hogg', 'Melinda Blau']",ePUB,19.99,19.99,1407024779,2009-12-01,Ebury Publishing,304
Dark Lover,['J. R. Ward'],ePUB,11.99,11.99,0748129081,2011-02-03,"Little, Brown Book Group",480
X-Men,"['Chris Claremont', 'Jim Lee']",ePUB,19.06,15.99,0785178260,2014-11-05,Marvel Entertainment,
The Big Sleep,"['Raymond Chandler', 'Ian Rankin']",ePUB,15.99,15.99,0141911115,2005-07-07,Penguin Books Ltd,224
Darien,['C. F. Iggulden'],ePUB,15.99,15.99,0718186494,2017-07-13,Penguin Books Ltd,352
The Help,['Kathryn Stockett'],ePUB,15.99,15.99,0141930012,2009-07-23,Penguin Books Ltd,464
Star Trek,['Vonda N. McIntyre'],ePUB,23.99,23.99,0743499964,2004-10-26,Pocket Books/Star Trek,464
Violets are Blue,['James Patterson'],ePUB,12.99,12.99,075538735X,2011-06-23,Headline,335
The Last Astronaut,['David Wellington'],ePUB,12.99,12.99,0356512282,2019-07-23,"Little, Brown Book Group",384
Missing Me,['Sophie McKenzie'],ePUB,10.99,10.99,0857077295,2012-09-13,Simon & Schuster UK,304
Emotional Agility,['Susan David'],ePUB,15.99,15.99,024197657X,2016-04-07,Penguin Books Ltd,272
Bulfinch's Medieval Mythology,['Thomas Bulfinch'],,0,0,1306358426,2012-01-01,DOVER PUBLICATIONS,
Exit Strategy,['Martha Wells'],ePUB,20.53,16.99,1250185467,2018-10-02,Tor Publishing Group,
East of Eden,"['David Wyatt', 'John Steinbeck']",ePUB,15.99,15.99,0141923504,2000-09-07,Penguin Books Ltd,640
Privateer's Revenge,['Julian Stockwin'],E-Book,0,0,1306072468,2008-01-01,McBooks Press,325
Book not found for ISBN 9780141350684,,,,,,,,
Book not found for ISBN 9780230767539,,,,,,,,
The Island,['Victoria Hislop'],ePUB,11.99,11.99,0755352440,2008-02-10,Headline,300
Naked Statistics,['Charles Wheelan'],Paperback,29.95,22.25,039334777X,2014-01-13,W W Norton & Company,304
Enneagram Transformations,['Don Richard Riso'],Paperback,32.5,32.5,0395657865,1993-01-29,HarperCollins Publishers,144
An Offer You Can't Refuse,['Jill Mansell'],ePUB,12.99,12.99,0755352017,2008-02-10,Headline,300
Dark Force Rising,['Timothy Zahn'],ePUB,10.47,9.12,0307796183,2011-06-28,Random House Worlds,
Book not found for ISBN 9780141388786,,,,,,,,
Mist's Edge,['T.A. White'],ePUB,5.48,5.48,1370483058,2017-11-28,T.A. White,
The 7 Second CV,['James Reed'],ePUB,18.99,18.99,0753553082,2019-01-03,Ebury Publishing,208
Sharp Objects,['Gillian Flynn'],ePUB,11.99,11.99,0297860240,2009-09-03,Orion,336
The Hairy Bikers' Big Book of Baking,['Hairy Bikers'],ePUB,19.99,19.99,0297868381,2012-03-01,Orion,224
Shadowbreaker,['Joy Ellis'],E-Book,0,0,1306020727,2013-01-01,Robert Hale & Company,225
Spanish for Geniuses,['Andromeda Jones'],ePUB,0,0,1370211678,2017-03-01,Andromeda Jones,
The Outcast Dead,['Elly Griffiths'],ePUB,11.99,11.99,0857388924,2014-01-30,Quercus,400
Dark Places,['Gillian Flynn'],ePUB,12.99,11.99,0297855875,2009-05-14,Orion,368
A Tale of Two Cities,['Charles Dickens'],ePUB,2.75,2.75,1105795985,2013-03-13,,0
5 Ingredients - Quick & Easy Food,['Jamie Oliver'],ePUB,19.99,19.99,1405935618,2017-08-24,Penguin Books Ltd,288
"Once, Twice, Three Times an Aisling","['Emer McLysaght', 'Sarah Breen']",ePUB,15.99,15.99,1405938250,2019-09-19,Penguin Books Ltd,416
Revenge of the Middle-Aged Woman,['Elizabeth Buchan'],ePUB,15.99,15.99,0141924438,2007-08-02,Penguin Books Ltd,384
Book not found for ISBN 9780230763043,,,,,,,,
This Charming Man,['Marian Keyes'],ePUB,15.99,15.99,0141909773,2008-04-30,Penguin Books Ltd,912
As I Walked Out One Midsummer Morning,['Laurie Lee'],ePUB,14.99,14.99,0141397039,2014-06-26,Penguin Books Ltd,224
Kingdom of Fear,['Hunter S Thompson'],ePUB,15.99,15.99,0241958733,2011-11-24,Penguin Books Ltd,384
The Other Daughter,['Lisa Gardner'],Paperback,24.99,21.75,0755396510,2012-11-13,Headline,416
Letters from a Stoic,"['Seneca', 'Robin Campbell', 'Robin Campbell', 'Robin Campbell']",ePUB,10.99,10.99,0141914521,2004-08-26,Penguin Books Ltd,256
Book not found for ISBN 9780230761223,,,,,,,,
The Way Of Shadows,['Brent Weeks'],ePUB,11.99,11.99,0748112588,2009-06-11,"Little, Brown Book Group",688
Seeing Behind the Veil,['Ana Werner'],Paperback,46.25,46.25,0768442834,2018-09-18,DESTINY IMAGE INC             ,240
The Republic of Thieves,['Scott Lynch'],ePUB,12.99,12.99,0575088230,2013-10-10,Orion,880
Four Blind Mice,['James Patterson'],ePUB,12.99,12.99,0755387147,2011-06-23,Headline,330
The Sixth Extinction,['Elizabeth Kolbert'],ePUB,15.99,13.99,1408851237,2014-02-13,Bloomsbury Publishing,336
Wanderers,['Chuck Wendig'],ePUB,23.99,19.99,039918211X,2019-07-02,Random House Worlds,
New York 2140,['Kim Stanley Robinson'],ePUB,19.99,19.99,0316262331,2017-03-21,Orbit,480
"Life, the Universe and Everything",['Douglas Adams'],ePUB,13.95,10.4,0330513141,2009-09-01,,0
Rage,['Wilbur Smith'],ePUB,13.95,10.5,0330473034,2008-09-04,,0
The Templar's Code,['Chloe M. Palov'],ePUB,15.99,15.99,0141960655,2010-10-28,Penguin Books Ltd,528
A Lion Among Men,['Gregory Maguire'],ePUB,10.99,10.99,0061981745,2009-10-06,HarperCollins,400
The Secret History,['Donna Tartt'],ePUB,11.99,11.99,1405529636,2013-05-02,"Little, Brown Book Group",544
Peace Comes to Honeyfield,['Anna Jacobs'],Paperback,25.75,25.75,0749020555,2019-05-01,Faber Factory,352
Glory in Death,['J.D. Robb'],ePUB,11.99,11.99,0748121765,2010-10-07,"Little, Brown Book Group",336
Vile Bodies,['Evelyn Waugh'],ePUB,15.99,15.99,0141190698,2012-05-31,Penguin Books Ltd,256
Anatomy Of The Spirit,['Caroline Myss'],ePUB,14.5,14.5,1407056980,2010-01-26,Random House,320
The Infinite Game,['Simon Sinek'],ePUB,19.99,19.99,0241979722,2019-10-15,Penguin Books Ltd,256
The Humans,['Matt Haig'],ePUB,21.08,16.99,0857868772,2013-05-09,Canongate Books,304
Close Call,['Stella Rimington'],ePUB,17.58,14.99,1408841061,2014-07-03,Bloomsbury Publishing,352
Furious,['T.R. Ragan'],ePUB,4.5,4.5,1365014924,2016-04-01,,0
Spider-Man,"['Todd McFarlane', 'Leandro Fernandez', 'Humberto Ramos', 'Joe Bennett', 'Al Rio']",Paperback,49.99,37.25,078516006X,2013-01-22,Marvel Comics,192
Shadow Hunter,['Geoffrey Archer'],ePUB,15.99,15.99,144815152X,2012-08-17,Random House,320
The Jeeves Omnibus - Vol 1,['P G Wodehouse'],ePUB,17.99,17.99,1407070711,2012-02-29,Random House,592
Kill Your Friends,['John Niven'],ePUB,15.99,15.99,1407010956,2008-12-16,Random House,336
Tripwire,['Lee Child'],ePUB,16.99,16.99,1407070215,2008-09-04,Transworld,560
The Girl Who Takes an Eye for an Eye,"['David Lagercrantz', 'George Goulding']",ePUB,16.99,16.99,0857056441,2017-09-07,Quercus,448
Fred & Rose,['Howard Sounes'],ePUB,11.99,11.99,1405512172,2011-09-05,"Little, Brown Book Group",384
The Night Stalker,['Chris Carter'],Paperback,22.99,20.4,0857202979,2012-03-01,Simon & Schuster UK,464
Glow,['W. H. Beck'],ePUB,11.99,11.99,0544759214,2015-12-15,HarperCollins,32
Beethoven,['Jan Swafford'],ePUB,45.8,45.8,054424558X,2014-08-05,,994
Regeneration,['Pat Barker'],ePUB,15.99,15.99,014190643X,2008-05-01,Penguin Books Ltd,256
The Devil's Alternative,['Frederick Forsyth'],ePUB,15.99,15.99,1407096184,2011-05-30,Random House,496
The Gladiator (Eagles of the Empire 9),['Simon Scarrow'],ePUB,12.99,12.99,0755353455,2009-08-06,Headline,320
Cinderella Sister,['Dilly Court'],ePUB,15.99,15.99,1407071874,2011-06-02,Random House,512
Friends In High Places,['Donna Leon'],ePUB,15.99,15.99,1407070541,2010-04-13,Random House,336
Magnus Chase and the Ship of the Dead (Book 3),['Rick Riordan'],ePUB,9.99,9.99,0141342617,2017-10-03,Penguin Random House Children's UK,528
The Leopard,"['Jo Nesbo', 'Don Bartlett']",ePUB,15.99,15.99,1407086073,2011-01-20,Random House,752
The Winter King,['Bernard Cornwell'],ePUB,15.99,15.99,0141952121,2007-11-01,Penguin Books Ltd,512
The Whisper Man,['Alex North'],ePUB,15.99,15.99,1405936010,2019-06-13,Penguin Books Ltd,400
Grand Union,['Zadie Smith'],ePUB,15.99,15.99,0241983134,2019-10-03,Penguin Books Ltd,304
"Mary, Mary",['James Patterson'],ePUB,12.99,12.99,0755387198,2011-04-28,Headline,327
Nineteen Eighty-Four,"['George Orwell', 'Thomas Pynchon']",ePUB,10.99,10.99,0141919957,2004-01-29,Penguin Books Ltd,400
The House on the Strand,['Daphne du Maurier'],ePUB,9.99,9.99,0316252999,2013-12-17,"Little, Brown and Company",352
Someone to Trust,['Mary Balogh'],Paperback,22.99,20.4,0349419221,2018-11-27,Little Brown,400
Book not found for ISBN 9780297855897,,,,,,,,
Blink,['Malcolm Gladwell'],ePUB,15.99,15.99,0141930187,2006-02-23,Penguin Books Ltd,304
The Orphan's Tales,['Catherynne Valente'],ePUB,10.27,9.99,0553903101,2006-10-31,Random House Worlds,
The Testing Guide,['Joelle Charbonneau'],ePUB,4.99,4.99,0544084780,2013-05-01,HarperCollins,
The Beautiful Summer,"['Cesare Pavese', 'Elizabeth Strout']",ePUB,15.99,15.99,0241983401,2018-06-07,Penguin Books Ltd,112
Best ever recipes,['Slimming World'],ePUB,21.99,21.99,1409003175,2014-04-30,Ebury Publishing,208
The Separation,['Dinah Jefferies'],ePUB,15.99,15.99,024196606X,2014-05-22,Penguin Books Ltd,320
Split Second,['David Baldacci'],Paperback,19.99,18.25,1529003318,2019-11-12,Pan Macmillan UK,608
Cage of Deceit,['Jennifer Anne Davis'],ePUB,0,0,0998151645,2019-06-19,Reign Publishing,
A Christmas Carol,['Charles Dickens'],ePUB,8.55,7.99,0553897055,2002-11-26,Random House Publishing Group,
Body Of Evidence,['Patricia Cornwell'],ePUB,11.99,11.99,0748109277,2008-09-04,"Little, Brown Book Group",400
Book not found for ISBN 9780230752368,,,,,,,,
Orlando,['Virginia Woolf'],ePUB,13.74,11.99,0857863436,2012-01-05,Canongate Books,192
Corridors Of Power,['C.P. Snow'],PDF,14.9,14.9,0755118391,2010-01-16,,368
What Are You Looking At?,['Will Gompertz'],ePUB,16.99,16.99,0670920509,2012-09-06,Penguin Books Ltd,464
How to be Both,['Ali Smith'],ePUB,15.99,15.99,0241965616,2014-08-28,Penguin Books Ltd,320
The Wasp Factory,['Iain Banks'],ePUB,11.99,11.99,0748109951,2008-09-04,"Little, Brown Book Group",256
Warbreaker,['Brandon Sanderson'],ePUB,11.99,11.99,0575097477,2011-12-29,Orion,688
Ruth's First Christmas Tree,['Elly Griffiths'],ePUB,4.99,4.99,0544147774,2012-12-11,HarperCollins,
Caesar,"['Adrian Goldsworthy', 'Dr Adrian Goldsworthy Ltd']",ePUB,17.99,17.99,0297864009,2013-04-18,Orion,704
Kane and Abel,['Jeffrey Archer'],ePUB,13.95,10.5,0330461931,2008-09-04,,200
Agent Running in the Field,['John le Carré'],ePUB,15.99,15.99,0241986559,2019-10-17,Penguin Books Ltd,272
Dune Messiah,['Frank Herbert'],ePUB,24.99,24.99,0575104422,2011-07-14,Orion,416
I Looked Away,['Jane Corry'],ePUB,15.99,15.99,0241984645,2019-06-21,Penguin Books Ltd,464
The Moral Economists,['Tim Rogan'],ePUB,47.29,37.99,1400888026,2017-12-18,Princeton University Press,280
Novacene,['James Lovelock'],ePUB,16.99,16.99,0241399378,2019-07-04,Penguin Books Ltd,160
Exile,['James Swallow'],Paperback,27.99,23.75,1785760459,2018-04-24,Bonnier,576
Scoop,['Evelyn Waugh'],ePUB,15.99,15.99,0141907177,2012-05-31,Penguin Books Ltd,240
"Teddy Suhren, Ace of Aces",['Teddy Shuren'],E-Book,0,0,1306863422,2011-01-01,Frontline Books,249
Natural Causes,['James Oswald'],ePUB,15.99,15.99,1405913150,2012-11-22,Penguin Books Ltd,400
The Darkness,"['Ragnar Jónasson', 'Victoria Cribb']",ePUB,15.99,15.99,1405930810,2018-03-15,Penguin Books Ltd,400
The Moon is Down,"['Donald Coers', 'John Steinbeck']",ePUB,15.99,15.99,0141912553,2000-11-30,Penguin Books Ltd,144
"How to Care for Aging Parents, 3rd Edition",['Virginia Morris'],ePUB,23.99,23.99,076117866X,2014-02-11,Workman Publishing Company,688
New Joe Abercrombie Novel #1,['Joe Abercrombie'],Hardcover,51.5,51.5,031618716X,2019-09-17,ORBIT                         ,480
The Last Man,['Vince Flynn'],ePUB,4.99,4.99,0857208756,2012-11-13,Simon & Schuster UK,448
Heir to the Empire,['Timothy Zahn'],ePUB,6.96,6.26,0307796108,2011-06-28,Random House Worlds,
Silence Of The Grave,"['Arnaldur Indridason', 'Bernard Scudder']",ePUB,15.99,15.99,1407020951,2008-12-26,Random House,304
X-Men,"['Chris Claremont', 'John Byrne']",ePUB,24.93,20.99,0785171452,2019-03-13,Marvel Entertainment,
Small Island,['Andrea Levy'],Paperback,24.99,21.75,075530750X,2010-01-01,Headline,560
Book not found for ISBN 9780230772021,,,,,,,,
Soul Music,['Terry Pratchett'],ePUB,14.99,14.99,1407034936,2009-05-27,Transworld,432
2nd Chance,"['James Patterson', 'Andrew Gross']",Paperback,22.99,20.4,075534927X,2009-08-01,Headline,432
Andrew Carnegie,['David Nasaw'],ePUB,17.14,13.99,1101201797,2007-10-30,Penguin Publishing Group,896
The Good Liar,['Nicholas Searle'],ePUB,15.99,15.99,0241973287,2015-12-31,Penguin Books Ltd,288
No Further Questions,['Gillian McAllister'],ePUB,15.99,15.99,1405934670,2018-07-02,Penguin Books Ltd,400
Use of Weapons,['Iain M. Banks'],ePUB,12.99,12.99,0748110089,2008-09-04,"Little, Brown Book Group",432
The Betrayal,['Helen Dunmore'],ePUB,15.99,15.99,0141946032,2010-04-29,Penguin Books Ltd,336
Dying to Be Me,['Anita Moorjani'],ePUB,24.93,20.01,1401937527,2022-03-08,Hay House,191
The Witches,"['Roald Dahl', 'Quentin Blake']",ePUB,9.99,9.99,0141930179,2007-09-06,Penguin Random House Children's UK,224
Taunting Destiny,['Amelia Hutchins'],ePUB,6.99,6.99,1301211222,2015-07-30,Amelia Hutchins,
The Book of Chuang Tzu,"['Chuang Tzu', 'Martin Palmer']",ePUB,14.99,14.99,0141913991,2006-11-30,Penguin Books Ltd,352
Fingersmith,['Sarah Waters'],ePUB,11.99,11.99,0748129235,2011-02-03,"Little, Brown Book Group",560
Ways of Seeing,['John Berger'],ePUB,14.99,14.99,0141917989,2008-09-25,Penguin Books Ltd,176
"Life, Death and Vanilla Slices",['Jenny Eclair'],ePUB,12.99,12.99,0748127720,2012-07-05,"Little, Brown Book Group",320
Revolution 1989,['Victor Sebestyen'],ePUB,19.99,19.99,0297857886,2009-07-30,Orion,576
Common Sense,"['Thomas Paine', 'Diana Gabaldon']",ePUB,3.99,3.99,0553898418,2004-02-03,Random House Publishing Group,
My Cousin Rachel,['Daphne du Maurier'],ePUB,13.99,13.99,0316252964,2013-12-17,"Little, Brown and Company",352
Storytime for 2 Year Olds,[],Hardcover,20.99,5.95,0857346563,2012-09-01,Bonnier Books Ltd,48
The Lords of the Wind,['C.J. Adrien'],ePUB,8.23,8.23,0989929159,2019-07-07,C.J. Adrien,
Hour Game,['David Baldacci'],Paperback,42.52,42.52,1455550795,2014-03-25,GRAND CENTRAL PUBL            ,512
The Blissful Baby Expert,['Lisa Clegg'],ePUB,19.99,19.99,1473501539,2014-02-06,Ebury Publishing,368
A Fall of Marigolds,['Susan Meissner'],ePUB,23.99,19.99,1101625546,2014-02-04,Penguin Publishing Group,304
Down to the Woods,['M. J. Arlidge'],ePUB,15.99,15.99,1405925671,2018-09-20,Penguin Books Ltd,368
Introducing Political Philosophy,"['Principal Lecturer in Psychology Dave Robinson', 'Judy Groves']",E-Book,0,0,1281372048,2006-01-01,Icon Books Limited,176
"Love, Iris",['Elizabeth Noble'],ePUB,15.99,15.99,0241392101,2018-12-27,Penguin Books Ltd,480
11th Hour,['James Patterson'],ePUB,15.99,15.99,1407071564,2012-03-01,Random House,496
Book not found for ISBN 9780230741140,,,,,,,,
Soldiers Of The Queen,['Max Hennessy'],ePUB,8.79,7.99,0755128087,2015-10-01,House of Stratus,366
Tom Clancy's Support and Defend,['Mark Greaney'],ePUB,15.99,15.99,1405919310,2014-07-22,Penguin Books Ltd,416
The Killing Type,['Jane Corry'],ePUB,0,0,0241984580,2018-05-17,Penguin Books Ltd,40
Feral,['George Monbiot'],ePUB,15.99,15.99,0141975598,2013-05-30,Penguin Books Ltd,256
If You Were Me,"[""Sheila O'Flanagan""]",ePUB,11.99,11.99,0755378504,2014-07-03,Headline,464
From the Dead,['Mark Billingham'],Paperback,22.99,20.4,075154003X,2011-05-31,Little Brown,496
Pretty Little Liars,['Sara Shepard'],ePUB,11.99,11.99,0748124616,2010-11-04,"Little, Brown Book Group",256
Before We Was We,"['Mike Barson', 'Mark Bedford', 'Chris Foreman', 'Graham McPherson', 'Dan Woodgate']",ePUB,15.99,15.99,0753553945,2019-10-10,Ebury Publishing,320
Man's Search for Meaning,"['Viktor E. Frankl', 'Harold S. Kushner', 'William J. Winslade']",ePUB,16.75,16.75,0807014281,2006-06-01,,0
Christmas Bells,['Jennifer Chiaverini'],Paperback,44.75,44.75,1101984791,2016-10-11,Penguin Group USA,352
The Fifth Queen,['Ford Madox Ford'],ePUB,17.14,13.99,0307744922,2011-10-04,Knopf Doubleday Publishing Group,
Red Country,['Joe Abercrombie'],ePUB,12.99,12.99,0575095857,2012-10-18,Orion,560
One Flew Over the Cuckoo's Nest,"['Ken Kesey', 'Joe Sacco']",ePUB,15.99,15.99,0141915064,2011-08-23,Penguin Books Ltd,320
Provided You Don't Kiss Me,['Duncan Hamilton'],ePUB,20.99,20.99,0007283032,2008-09-04,HarperCollins Publishers,256
Love,['Toni Morrison'],ePUB,15.99,15.99,1407020358,2008-12-26,Random House,208
Book not found for ISBN 9781405529518,,,,,,,,
Home,['Julie Andrews'],ePUB,21.99,21.99,1401395422,2008-04-01,Hachette Books,352
The Elephant Whisperer,"['Anthony Lawrence', 'Graham Spence']",ePUB,13.95,10.4,0283070897,2009-06-05,,0
Trace,['Patricia Cornwell'],ePUB,11.99,11.99,0748109684,2008-09-04,"Little, Brown Book Group",496
The Coddling of the American Mind,"['Jonathan Haidt', 'Greg Lukianoff']",ePUB,16.99,16.99,0241308364,2018-09-04,Penguin Books Ltd,400
The Wall,['John Lanchester'],ePUB,13.19,11.99,0571298710,2019-01-15,Faber & Faber,320
The Brothers of Brigadier Station,['Sarah Williams'],ePUB,0.99,0.99,0648046214,2017-08-09,Serenade Publishing,234
"Go Programming Language, The","['Alan A. A. Donovan', 'Brian W. Kernighan']",ePUB,61.25,61.25,0134190564,2015-11-16,Pearson Technology Group,0
Persuasion,['Jane Austen'],ePUB,3.99,3.99,0553904566,2008-01-29,Random House Publishing Group,
Macbeth,['William Shakespeare'],ePUB,1.45,1.45,0486113035,2012-02-03,Dover Publications,96
Murder Most Unladylike,['Robin Stevens'],ePUB,9.99,9.99,0141369779,2016-02-25,Penguin Random House Children's UK,352
Father Unknown,['Lesley Pearse'],ePUB,15.99,15.99,0141924608,2006-07-06,Penguin Books Ltd,416
The Little Book of Common Sense Investing,['John C. Bogle'],ePUB,29.99,29.99,1119404517,2017-09-22,Wiley,304
Girl,"[""Edna O'Brien""]",ePUB,13.19,11.99,0571341195,2019-09-03,Faber & Faber,320
Tempting Fate,['Jane Green'],ePUB,15.99,15.99,0141967315,2013-09-12,Penguin Books Ltd,400
Paths of Glory,['Jeffrey Archer'],ePUB,13.95,10.5,0230741924,2009-12-11,,400
Measure What Matters,['John Doerr'],ePUB,18.99,18.99,0241983886,2018-04-24,Penguin Books Ltd,320
Seeing Around Corners,['Rita McGrath'],ePUB,26.99,26.99,0358018978,2019-09-03,HarperCollins,
Find Me,['André Aciman'],ePUB,16.49,14.99,0571356516,2019-10-29,Faber & Faber,256
Percy Jackson and the Lightning Thief (Book 1),['Rick Riordan'],ePUB,12.99,12.99,0141924403,2008-05-01,Penguin Random House Children's UK,384
The Demigod Diaries,['Rick Riordan'],ePUB,14.99,14.99,014134475X,2012-09-06,Penguin Random House Children's UK,256
Star Wars Omnibus Knights of the Old Republic Vol. 1,"['John Jackson Miller', 'Brian Ching', 'Travel Foreman']",ePUB,29.33,23.99,1302453645,2015-03-25,Marvel Entertainment,
Forever Dreams,['Leeanna Morgan'],ePUB,9.99,9.99,0994105452,2018-10-02,Rogan Press,
The Retribution,['Val McDermid'],ePUB,11.99,11.99,0748125787,2011-09-01,"Little, Brown Book Group",544
The Water Cure,['Sophie Mackintosh'],ePUB,15.99,15.99,0241983029,2018-05-24,Penguin Books Ltd,240
Fool Moon : Dresden Files,['Jim Butcher'],Paperback,20.4,20.4,0356500284,2011-05-05,Little Brown,341
The Hangman's Song,['James Oswald'],ePUB,14.99,14.99,1405913193,2014-02-27,Penguin Books Ltd,400
Hornblower and the Hotspur,['C.S. Forester'],ePUB,15.99,15.99,0141930454,2006-10-05,Penguin Books Ltd,304
The Pioppi Diet,"['Dr Aseem Malhotra', ""Donal O'Neill""]",ePUB,14.99,14.99,1405932678,2017-06-29,Penguin Books Ltd,288
Dark Tales,['Shirley Jackson'],ePUB,15.99,15.99,0241295432,2016-10-06,Penguin Books Ltd,176
Guardians Of The Galaxy Vol. 1,"['Brian Michael Bendis', 'Various']",ePUB,16.12,12.99,130201367X,2019-03-06,Marvel Entertainment,
Eclipse,['Stephenie Meyer'],ePUB,11.99,11.99,0748112537,2009-02-26,"Little, Brown Book Group",672
The Fifth Elephant,['Terry Pratchett'],ePUB,15.99,15.99,1407035207,2008-09-04,Transworld,464
The Unmarried Mother,['Sheila Tofield'],ePUB,14.99,14.99,1405911352,2013-03-28,Penguin Books Ltd,240
Cruel And Unusual,['Patricia Cornwell'],ePUB,11.99,11.99,0748109358,2008-09-04,"Little, Brown Book Group",448
Dani's Story,"['Diane Lierow', 'Bernie Lierow']",ePUB,14.99,14.99,0718158296,2011-09-29,Penguin Books Ltd,288
Close Your Eyes,['Michael Robotham'],ePUB,9.99,9.99,1405530669,2015-08-06,"Little, Brown Book Group",400
The Bracelet,['Fredrica Alleyn'],Paperback,32.99,26.95,0753541599,2013-04-15,RANDOM HOUSE UK,320
Always Managing,['Harry Redknapp'],ePUB,18.99,18.99,1407060732,2013-10-10,Ebury Publishing,432
Tower Lord,['Anthony Ryan'],ePUB,12.99,12.99,1405525959,2014-07-03,"Little, Brown Book Group",624
The Traitor God,['Cameron Johnston'],Paperback,26.5,26.5,0857667793,2018-06-05,RANDOM HOUSE US,432
Feet Of Clay,['Terry Pratchett'],ePUB,14.99,14.99,1407035029,2008-12-16,Transworld,416
Scaredy Cat,['Mark Billingham'],ePUB,11.99,11.99,0748109528,2008-09-04,"Little, Brown Book Group",480
Dead Until Dark : A True Blood Novel,['Charlaine Harris'],ePUB,11.99,11.99,0575089377,2010-02-25,Orion,352
Crucial Conversations,"['Joseph Grenny', 'Kerry Patterson', 'Ron McMillan', 'Al Switzler', 'Emily Gregory']",Paperback,33.95,21.75,1260474186,2021-10-21,McGraw Hill,304
Little Life,['Hanya Yanagihara'],E-Book,0,0,0385539266,2015-01-01,Knopf Doubleday Publishing Group,498
Book not found for ISBN 9780156033121,,,,,,,,
Margaret Thatcher,['Charles Moore'],ePUB,19.99,19.99,0241324750,2019-10-03,Penguin Books Ltd,880
The Break,['Marian Keyes'],ePUB,15.99,15.99,1405918772,2017-09-07,Penguin Books Ltd,400
Enemy of Mine,['Brad Taylor'],ePUB,14.25,14.25,1101606606,2013-01-15,Penguin Publishing Group,400
Black Notice,['Patricia Cornwell'],Paperback,22.99,20.4,0751544833,2010-11-01,Little Brown,464
Dark Age,['Pierce Brown'],Hardcover,48.95,48.95,0425285944,2019-07-30,Del Rey Books,800
Book not found for ISBN 9780230763098,,,,,,,,
Last Man Off,['Matt Lewis'],ePUB,16.99,16.99,0241967457,2014-07-10,Penguin Books Ltd,256
Three Daughters of Eve,['Elif Shafak'],ePUB,15.99,15.99,0241978874,2017-02-02,Penguin Books Ltd,368
Book not found for ISBN 9780062358486,,,,,,,,
A Narrow Margin of Error,['Faith Martin'],ePUB,5.49,4.5,0719811139,2013-07-30,Robert Hale,224
Iron Lake (20th Anniversary Edition),['William Kent Krueger'],ePUB,14.99,14.99,0671036904,2000-01-01,Atria Books,336
The Chessmen,['Peter May'],ePUB,12.99,12.99,0857382187,2012-11-19,Quercus,400
The Silk Merchant's Daughter,['Dinah Jefferies'],ePUB,15.99,15.99,0241975905,2016-02-25,Penguin Books Ltd,400
Things Fall Apart,['Chinua Achebe'],ePUB,15.99,15.99,0141393963,2013-04-25,Penguin Books Ltd,176
The Brightest Star in the Sky,['Marian Keyes'],ePUB,15.99,15.99,0141958308,2009-10-30,Penguin Books Ltd,640
A Christmas Carol,['Charles Dickens'],ePUB,8.55,7.99,0553897055,2002-11-26,Random House Publishing Group,
The Challenger Sale,"['Matthew Dixon', 'Brent Adamson']",ePUB,18.99,18.99,0670922862,2012-10-01,Penguin Books Ltd,240
Dottir,"['Katrin Davidsdottir', 'Rory McKernan']",ePUB,19.51,15.99,1250142652,2019-08-06,St. Martin's Publishing Group,
Berlin,['Antony Beevor'],ePUB,15.99,15.99,0141903023,2007-10-04,Penguin Books Ltd,528
Book not found for ISBN 9780307422989,,,,,,,,
The David Raker Collection Books 1-3,['Tim Weaver'],ePUB,19.99,19.99,1405917318,2013-09-26,Penguin Books Ltd,1142
Fool Moon : Dresden Files,['Jim Butcher'],ePUB,12.99,12.99,0748116079,2010-03-04,"Little, Brown Book Group",400
The Water Dancer,['Ta-Nehisi Coates'],ePUB,16.99,16.99,0241982529,2019-09-26,Penguin Books Ltd,320
Lost Innocence,['Susan Lewis'],ePUB,15.99,15.99,1409064913,2010-04-01,Random House,656
Triptych,['Karin Slaughter'],ePUB,15.99,15.99,1407008390,2008-09-04,Random House,528
Good As Dead,['Mark Billingham'],ePUB,12.99,12.99,0748120483,2011-08-18,"Little, Brown Book Group",352
First Light,['Geoffrey Wellum'],ePUB,15.99,15.99,0241984335,2018-05-17,Penguin Books Ltd,352
The Hazel Wood,['Melissa Albert'],ePUB,12.99,12.99,0141388676,2018-02-08,Penguin Random House Children's UK,400
